date,time,epoch,moteid,value
2004-02-28,00:59:46.120334,4,12,90.16
2004-02-28,01:05:46.106724,16,12,90.16
2004-02-28,01:08:16.379898,21,12,90.16
2004-02-28,01:18:16.57556,41,12,93.84
2004-02-28,01:20:46.279898,46,12,93.84
2004-02-28,01:59:47.06488,124,12,64.4
2004-02-28,02:00:16.062424,125,12,68.08
2004-02-28,02:00:45.938956,126,12,71.76
2004-02-28,02:01:16.704628,127,12,75.44
2004-02-28,02:01:46.860814,128,12,79.12
2004-02-28,02:02:16.098367,129,12,82.8
2004-02-28,02:03:46.356706,132,12,90.16
2004-02-28,02:04:46.251322,134,12,90.16
2004-02-28,02:05:46.832166,136,12,90.16
2004-02-28,02:06:16.366423,137,12,90.16
2004-02-28,02:06:46.343565,138,12,90.16
2004-02-28,02:08:16.982328,141,12,90.16
2004-02-28,02:10:16.843512,145,12,90.16
2004-02-28,02:10:46.262612,146,12,90.16
2004-02-28,02:13:17.168449,151,12,90.16
2004-02-28,02:13:46.905926,152,12,90.16
2004-02-28,02:14:16.514919,153,12,90.16
2004-02-28,02:17:46.041133,160,12,93.84
2004-02-28,02:18:16.746424,161,12,93.84
2004-02-28,02:21:16.249188,167,12,93.84
2004-02-28,02:23:17.068733,171,12,93.84
2004-02-28,02:23:46.733664,172,12,93.84
2004-02-28,02:25:16.643406,175,12,93.84
2004-02-28,02:26:16.7935,177,12,93.84
2004-02-28,02:26:46.486259,178,12,93.84
2004-02-28,06:44:46.387482,694,12,32.2
2004-02-28,06:46:17.186323,697,12,37.72
2004-02-28,06:46:47.515852,698,12,39.56
2004-02-28,06:47:47.240282,700,12,41.4
2004-02-28,06:48:47.043418,702,12,45.08
2004-02-28,06:49:17.487085,703,12,46.92
2004-02-28,06:54:16.777926,713,12,64.4
2004-02-28,06:56:47.277855,718,12,71.76
2004-02-28,07:00:47.227251,726,12,86.48
2004-02-28,07:02:47.376557,730,12,93.84
2004-02-28,07:03:47.441893,732,12,93.84
2004-02-28,07:05:47.177983,736,12,101.2
2004-02-28,07:06:16.447946,737,12,104.88
